n,mask,t,x,y,z
485,40,16.166666666666668,15.543006446878953,28.873582120940558,5.015563359622437
486,40,16.2,15.543006446878953,28.873582120940558,5.015563359622437
487,108,16.233333333333334,15.182687839278914,28.91448727651281,4.9928611010819335
488,108,16.266666666666666,15.227839674245322,28.922346561079927,5.252702425406584
489,108,16.3,15.127329648313873,28.9276715995892,5.709754518466122
490,108,16.333333333333332,15.076274164121944,28.912031954974328,5.849702995847307
491,108,16.366666666666667,14.98019181921428,29.01591616317024,6.224060488181304
492,108,16.4,14.876278127087273,28.985536171477186,6.398508505793057
493,108,16.433333333333334,14.74854201945436,28.87620162389775,6.661212290962743
494,108,16.466666666666665,14.616224309083176,28.840242618488077,6.760395162161938
495,108,16.5,14.42864636900745,28.702054752742328,6.960088451949017
496,108,16.533333333333335,14.228851631116552,28.597512247228774,7.042080430252532
497,108,16.566666666666666,13.985366337754414,28.357644914221407,7.0958294229618275
498,108,16.6,13.839660217451884,28.31869041511825,7.127362476474537
499,108,16.633333333333333,13.713292004059909,27.886842200502173,7.096184857889982
500,108,16.666666666666668,13.470211312981773,27.80897484646353,7.058931445857849
501,108,16.7,13.259966895033154,27.573765674432497,6.903798859873314
502,108,16.733333333333334,13.02858637157972,27.480578011529357,6.816218747210071
503,108,16.766666666666666,12.979680450943027,27.118443876438942,6.544016580952022
504,108,16.8,12.720120863042848,26.90398158467914,6.3110669714267615
505,108,16.833333333333332,12.761021499192017,26.662037000272264,6.1002964136085485
506,108,16.866666666666667,12.727231705170816,26.621280884918733,5.870042523075168
507,108,16.9,12.532161054109848,26.50362862876119,5.70697748479274
508,108,16.933333333333334,12.453409505751694,26.48346725156796,5.602602443193193
509,108,16.966666666666665,12.331800488254002,26.397633786118778,5.364702260519743
510,108,17.0,12.078503198893086,26.318659355067684,5.366304933832244
511,108,17.033333333333335,11.80103292396884,26.23670965301144,5.276061233706705
512,108,17.066666666666666,11.550991134174499,26.154048748150874,5.221371178114524
513,108,17.1,11.340971279360767,26.016746815043458,5.136735677445069
514,108,17.133333333333333,11.059616530490484,25.914112828574535,5.053370190956742
515,108,17.166666666666668,10.792351287241543,25.699404302488308,4.878088749426884
516,108,17.2,10.507456970654985,25.581751261481546,4.7434985997665775
517,108,17.233333333333334,10.441453537748108,25.28817474055313,4.537268728394789
518,108,17.266666666666666,10.177729201330239,25.1630289325179,4.395011705006556
519,44,17.3,10.04276670420621,24.388811293124622,4.113609573716508
520,60,17.333333333333332,10.024564262378178,23.55479931838569,3.9587994161744615
521,60,17.366666666666667,9.989511814873566,23.12440211827289,3.8659413438464183
522,60,17.4,9.895142285399656,22.87073400848957,3.750945388338101
523,60,17.433333333333334,9.70855568447674,22.405633726413388,3.767334235439262
524,60,17.466666666666665,9.40424152346602,21.97932828076036,3.6807184052805177
525,60,17.5,9.289589643620149,21.58764603307212,3.615668340978788
